ID;LONGITUDE;LATITUDE
1;-51100178;-30019988
2;-51100136;-30020391
3;-51108245;-30017445
4;-51109483;-30017356
5;-51118601;-30036034
6;-51118518;-30035005
7;-51105161;-30036594
8;-51104625;-30036537
9;-51114959;-30019930
10;-51114163;-30020009
11;-51135410;-29979354
12;-51135433;-29979002
13;-51232540;-30088429
14;-51232581;-30088552
15;-51122528;-30005811
16;-51134485;-30008524
17;-51134592;-30009923
18;-51122114;-29989046
19;-51122071;-29989825
20;-51143404;-30013782
21;-51141776;-30013845
22;-51131494;-30024055
23;-51130190;-30024054
24;-51133955;-30011413
25;-51135443;-30011401
26;-51126467;-30021736
27;-51127132;-30021678
28;-51139589;-30027552
29;-51138793;-30027558
30;-51127465;-30023577
31;-51127879;-30023553
32;-51128157;-30024383
33;-51128532;-30024279
34;-51129548;-30028300
35;-51129679;-30028660
36;-51129401;-30027913
37;-51132856;-30029737
38;-51132470;-30028818
39;-51131374;-30020991
40;-51132842;-30020955
41;-51151263;-30034162
42;-51152858;-30034548
43;-51133126;-30032188
44;-51131964;-30032368
45;-51152513;-30066336
46;-51153288;-30067489
47;-51116453;-30005867
48;-51116450;-30005181
49;-51114490;-30005513
50;-51115197;-30005527
51;-51095850;-29997391
52;-51095506;-29998459
53;-51115798;-30006003
54;-51115651;-30005395
55;-51127297;-30014735
56;-51127321;-30015296
57;-51140286;-30013616
58;-51138319;-30013720
59;-51217574;-30088638
60;-51218562;-30089666
61;-51227820;-30098116
62;-51227527;-30099085
63;-51211625;-30183079
64;-51210975;-30180547
65;-51175499;-30207263
66;-51174600;-30206446
67;-51186449;-30185190
68;-51186169;-30185658
69;-51177596;-30209353
70;-51176963;-30209753
71;-51170273;-30211081
72;-51169618;-30211217
73;-51192692;-30188272
74;-51191369;-30189398
75;-51230926;-30084858
76;-51231342;-30086567
77;-51232945;-30088922
78;-51233068;-30089035
79;-51232507;-30096607
80;-51232272;-30096574
81;-51232142;-30094158
82;-51232089;-30094020
83;-51239767;-30087733
84;-51238480;-30087984
85;-51154213;-30114364
86;-51154221;-30114637
87;-51151678;-30116430
88;-51151680;-30116237
89;-51152917;-30116441
90;-51152074;-30116251
91;-51153387;-30116513
92;-51156278;-30117493
93;-51156745;-30117778
94;-51143146;-30105399
95;-51143213;-30106149
96;-51151498;-30114689
97;-51152205;-30114842
98;-51152393;-30114188
99;-51155302;-30114869
100;-51154099;-30114907
101;-51153270;-30114679
102;-51143448;-30110508
103;-51144269;-30115164
104;-51154006;-30115262
105;-51154718;-30115420
106;-51155327;-30115552
107;-51173585;-30204659
108;-51172438;-30206325
109;-51244776;-30092331
110;-51245179;-30092240
111;-51235327;-30092227
112;-51234568;-30092423
113;-51234477;-30110642
114;-51235585;-30111502
115;-51231700;-30111762
116;-51230826;-30111434
117;-51226891;-30136450
118;-51226389;-30136014
119;-51227789;-30132211
120;-51227293;-30132348
121;-51221985;-30131329
122;-51222100;-30131962
123;-51184117;-30184835
124;-51183693;-30185588
125;-51198027;-29976905
126;-51197504;-29977230
127;-51188285;-30000959
128;-51187398;-30002623
129;-51178408;-29977679
130;-51177673;-29977080
131;-51176087;-29977562
132;-51175025;-29976697
133;-51173394;-29977287
134;-51172961;-29976267
135;-51136910;-30003446
136;-51137266;-30002976
137;-51135231;-30000757
138;-51134657;-29999770
139;-51137333;-29998147
140;-51137190;-29998009
141;-51137095;-29993625
142;-51137369;-29992144
143;-51136104;-29980107
144;-51136116;-29979819
145;-51138457;-29992191
146;-51138574;-29991128
147;-51193835;-29978039
148;-51193640;-29977417
149;-51193544;-29978489
150;-51193428;-29978127
151;-51146344;-29993917
152;-51146185;-29993647
153;-51126511;-30025238
154;-51126693;-30025300
155;-51124558;-30015820
156;-51124117;-30015981
157;-51106377;-29995488
158;-51106413;-29995694
159;-51112938;-29984274
160;-51114059;-29985307
161;-51113763;-29985780
162;-51112415;-29985243
163;-51126627;-29993790
164;-51126550;-29994387
165;-51106290;-29995491
166;-51106312;-29995211
167;-51090552;-29996712
168;-51090501;-29995877
169;-51098774;-29996600
170;-51098698;-29997949
171;-51109349;-29994821
172;-51109402;-29994629
173;-51127301;-30000660
174;-51126865;-30000056
175;-51096253;-30000904
176;-51096234;-30001069
177;-51130267;-30001842
178;-51130231;-30001525
179;-51127115;-29987744
180;-51127218;-29986398
181;-51095883;-29990108
182;-51092624;-29990263
183;-51105524;-29993248
184;-51105520;-29994074
185;-51108889;-29985434
186;-51108415;-29986684
187;-51130231;-29995178
188;-51128046;-29996381
189;-51104784;-29993295
190;-51104792;-29993788
191;-51102720;-29993021
192;-51102010;-29994427
193;-51099585;-29994037
194;-51099505;-29995247
195;-51112070;-29995157
196;-51112149;-29994541
197;-51098194;-29995168
198;-51098087;-29996595
199;-51107034;-29996497
200;-51105337;-29996854
201;-51102417;-29997450
202;-51101826;-29997527
203;-51102680;-29998740
204;-51102674;-29998962
205;-51129459;-29998953
206;-51129735;-30000537
207;-51092206;-30001231
208;-51092255;-30001779
209;-51115275;-30000606
210;-51114942;-29999716
211;-51103821;-30001099
212;-51103561;-30001096
213;-51093944;-30003298
214;-51093898;-30002729
215;-51096009;-30003091
216;-51095543;-30003143
217;-51117595;-30013681
218;-51117543;-30013200
219;-51113983;-30011976
220;-51114001;-30012100
221;-51125815;-29982967
222;-51125837;-29982634
223;-51126838;-29980301
224;-51125838;-29980246
225;-51130060;-29979161
226;-51131041;-29979234
227;-51122682;-29979878
228;-51122791;-29978023
229;-51136747;-29991919
230;-51136201;-29991649
231;-51129838;-29994615
232;-51127620;-29995767
233;-51188700;-30049395
234;-51187669;-30049716
235;-51153490;-30113375
236;-51154694;-30114048
237;-51154184;-30113140
238;-51155979;-30114193
239;-51153304;-30113891
240;-51199208;-30043974
241;-51199207;-30043973
242;-51217201;-30048956
243;-51217059;-30049900
244;-51214469;-30050361
245;-51213006;-30050454
246;-51190433;-30068440
247;-51192133;-30069108
248;-51196817;-30067518
249;-51197042;-30067487
250;-51212630;-30066571
251;-51213550;-30066457
252;-51192457;-29981734
253;-51192132;-29980728
254;-51191814;-29983762
255;-51191269;-29982021
256;-51195403;-29989030
257;-51195173;-29988534
258;-51196412;-29990958
259;-51196361;-29990753
260;-51175341;-30003207
261;-51174089;-30003204
262;-51133478;-29991279
263;-51132321;-29991625
264;-51131081;-29986290
265;-51130336;-29986249
266;-51122635;-29991344
267;-51122178;-29991455
268;-51096493;-29997564
269;-51120080;-30010360
270;-51120037;-30009974
271;-51203163;-30110251
272;-51203014;-30110144
273;-51205065;-30119107
274;-51205762;-30118817
275;-51183792;-30021640
276;-51189507;-30009642
277;-51188050;-30012712
278;-51193122;-30017744
279;-51191844;-30017699
280;-51184628;-30021854
281;-51184565;-30021948
282;-51175726;-30015932
283;-51174891;-30016183
284;-51192017;-30024370
285;-51190380;-30024215
286;-51193173;-30039380
287;-51193138;-30038517
288;-51193255;-30032278
289;-51192237;-30032362
290;-51178360;-30038702
291;-51180183;-30037811
292;-51179356;-30040223
293;-51178859;-30039461
294;-51185462;-30043454
295;-51182843;-30042666
296;-51184504;-30035943
297;-51184041;-30034836
298;-51189520;-30044499
299;-51189940;-30045954
300;-51198687;-30047035
301;-51197996;-30047973
302;-51148462;-30004510
303;-51148485;-30004381
304;-51155190;-29999332
305;-51156201;-29999424
306;-51149823;-30004572
307;-51149863;-30003885
308;-51144358;-30007618
309;-51144496;-30006957
310;-51173751;-30016378
311;-51173706;-30017082
312;-51158045;-30010494
313;-51157551;-30010468
314;-51152885;-30026780
315;-51154231;-30026923
316;-51160358;-30021174
317;-51161396;-30021144
318;-51147942;-30014851
319;-51147760;-30015539
320;-51183158;-30175143
321;-51184068;-30175656
322;-51206870;-30044263
323;-51206122;-30043823
324;-51214423;-30043777
325;-51214086;-30045569
326;-51197911;-30039932
327;-51197425;-30040067
328;-51215574;-30048042
329;-51213606;-30047812
330;-51221555;-30048103
331;-51221609;-30048554
332;-51228696;-30134348
333;-51226695;-30132523
334;-51224020;-30154734
335;-51225222;-30156496
336;-51228338;-30164540
337;-51227784;-30165309
338;-51180148;-30180328
339;-51180006;-30181078
340;-51185759;-30184879
341;-51172925;-30207919
342;-51171895;-30209142
343;-51220298;-30107566
344;-51220040;-30107624
345;-51172097;-30075533
346;-51171663;-30075879
347;-51231398;-30112299
348;-51230769;-30112067
349;-51226471;-30128244
350;-51226034;-30128812
351;-51233530;-30089365
352;-51233470;-30089367
353;-51229133;-30086775
354;-51229179;-30086990
355;-51232353;-30091668
356;-51231326;-30092137
357;-51237234;-30094611
358;-51236665;-30094680
359;-51237834;-30090857
360;-51238364;-30092743
361;-51232753;-30096014
362;-51232832;-30095793
363;-51121835;-29983456
364;-51122383;-29983480
365;-51220560;-30084590
366;-51219524;-30085986
367;-51204129;-30004274
368;-51202976;-30004627
369;-51190248;-29997732
370;-51190133;-29997756
371;-51203612;-30000148
372;-51201684;-30000515
373;-51232852;-30111563
374;-51233015;-30111626
375;-51230508;-30112703
376;-51239564;-30113303
377;-51239083;-30114461
378;-51224764;-30140773
379;-51224311;-30141426
380;-51223915;-30142075
381;-51222181;-30141063
382;-51234368;-30110843
383;-51228153;-30117176
384;-51228582;-30117180
385;-51226689;-30132518
386;-51226471;-30132574
387;-51252764;-30122741
388;-51252328;-30122721
389;-51218504;-30163163
390;-51224092;-30156624
391;-51224503;-30157352
392;-51225962;-30167253
393;-51225641;-30166680
394;-51187547;-30209309
395;-51186030;-30209841
396;-51176326;-30213416
397;-51175677;-30214256
398;-51233551;-30089316
399;-51233708;-30089446
400;-51227186;-30085267
401;-51226691;-30085756
402;-51227039;-30081906
403;-51227238;-30082105
404;-51243441;-30092976
405;-51242764;-30093319
406;-51142679;-30143074
407;-51141071;-30152240
408;-51198390;-29976771
409;-51195265;-29982458
410;-51194859;-29982555
411;-51194494;-29992954
412;-51194222;-29993059
413;-51155621;-29987194
414;-51155695;-29985095
415;-51133478;-29984745
416;-51132689;-29984700
417;-51135841;-29990194
418;-51135628;-29990273
419;-51120468;-29992268
420;-51120338;-29992092
421;-51180220;-29971694
422;-51178722;-29971856
423;-51195182;-29977415
424;-51195066;-29977065
425;-51194595;-29979320
426;-51194822;-29980028
427;-51196767;-29986284
428;-51196852;-29986643
429;-51201377;-30033728
430;-51201516;-30034280
431;-51172136;-30130561
432;-51171743;-30137267
433;-51133756;-30146450
434;-51135866;-30145824
435;-51146160;-30154792
436;-51145384;-30155240
437;-51141969;-30152440
438;-51142177;-30152891
439;-51112587;-30032900
440;-51111445;-30032966
441;-51127230;-30078119
442;-51128594;-30078978
443;-51125780;-30085302
444;-51127037;-30085035
445;-51125219;-30088433
446;-51125531;-30088820
447;-51131014;-30092103
448;-51130683;-30092430
449;-51106153;-30118789
450;-51105825;-30118773
451;-51100703;-30120757
452;-51100679;-30119535
453;-51122016;-30086526
454;-51122876;-30086555
455;-51102760;-30122863
456;-51100572;-30121756
457;-51113904;-30017023
458;-51113998;-30018061
459;-51100455;-30025409
460;-51100723;-30025702
461;-51136588;-30032658
462;-51138848;-30032536
463;-51143694;-30032020
464;-51146528;-30028626
465;-51129344;-30195247
466;-51118706;-30190017
467;-51127438;-30151581
468;-51127138;-30151105
469;-51130213;-30150846
470;-51127769;-30152074
471;-51124782;-30146588
472;-51125172;-30146811
