ID;Longitude;Latitude;ORDEM;DATA_IMPLA;PREDIAL;CDL1;CDL2;LOG1;LOG2;LOCAL;LOCAL_SIG;TIPO;OBSERVACAO;CODIGO
4;-51.194589;-29.988461;1;;705;8081234;;AV A J RENNER;;705 AV A J RENNER;1063 AV A J RENNER;PEDESTRE;PROX R ELPIDIO SANTOS DOS SANTOS;AJR-PD02
297;-51.149045;-30.010528;2;19790209;0;8580367;8280034;AV BOGOTA;AV ASSIS BRASIL;R BOGOTA & AV ASSIS BRASIL;R BOGOTA & AV ASSIS BRASIL;CRUZAMENTO;;ASS-BOG
319;-51.228230;-30.028475;3;19790205;14;7778145;7778087;PCA MONTEVIDEO;;14 PCA MONTEVIDEO;14 PCA MONTEVIDEO;PEDESTRE;;SET-PD01
918;-51.176764;-30.018945;4;19830127;0;8178147;7978018;AV PLINIO BRASIL MILANO;AV CRISTOVAO COLOMBO;AV PLINIO BRASIL MILANO & AV CRISTOVAO COLOMBO;AV PLINIO BRASIL MILANO & AV CRISTOVAO COLOMBO;CRUZAMENTO;;PLI-CRI
997;-51.198718;-30.039684;5;19790207;943;7977218;8077190;AV PROTASIO ALVES;R SAO VICENTE;AV PROTASIO ALVES & R SAO VICENTE;AV PROTASIO ALVES & R SAO VICENTE;CRUZAMENTO;;PRO-SVC
1024;-51.130756;-30.040905;6;20010314;8144;7977218;;AV PROTASIO ALVES;;8144 AV PROTASIO ALVES;8144 AV PROTASIO ALVES;PEDESTRE;BC PROX R JOAO DA SILVA BUENO;PRO-PD11
1025;-51.130734;-30.040955;7;20010314;8145;7977218;;AV PROTASIO ALVES;;8101 AV PROTASIO ALVES;8101 AV PROTASIO ALVES;PEDESTRE;CB PROX R JOAO DA SILVA BUENO;PRO-PD12
1027;-51.124124;-30.039236;8;19951116;8769;7977218;;AV PROTASIO ALVES;;8730 AV PROTASIO ALVES;8730 AV PROTASIO ALVES;PEDESTRE;CB PROX R ANTONIO GIUDICE;PRO-PD08
1032;-51.105766;-30.041224;9;;10557;7977218;;AV PROTASIO ALVES;;10557 AV PROTASIO ALVES;10557 AV PROTASIO ALVES;PEDESTRE;CB PROX R EGIDIO PICCOLI;PRO-PD10
1033;-51.105693;-30.041185;10;;;7977218;;AV PROTASIO ALVES;;DF 10557 AV PROTASIO ALVES;10758 AV PROTASIO ALVES;PEDESTRE;BC PROX R EGIDIO PICCOLI;PRO-PD10
1038;-51.204076;-30.037781;11;21112015;;7977218;8077067;AV PROTASIO ALVES;;AV PROTASIO ALVES BC EMBAIXO VDT TIRADENTES;AV PROTASIO ALVES BC EMBAIXO VDT TIRADENTES;PEDESTRE;SOB o viaduto Pedestre Memo 79/2015 Ciclovia;PRO-PD03
1049;-51.205990;-30.009168;12;22052015;;7980030;7979131;AV SAO PEDRO;R SANTOS DUMONT;R SAO PEDRO & R SANTOS DUMONT;R SAO PEDRO & R SANTOS DUMONT;CRUZAMENTO;;SPE-SDU
1054;-51.150761;-30.028963;13;;1469;8576084;;AV SATURNINO DE BRITO;;1469 AV SATURNINO DE BRITO;1469 AV SATURNINO DE BRITO;PEDESTRE;;SAT-PD01
1070;-51.188784;-30.002217;14;;1717;8081192;;AV SERTORIO;;1717 AV SERTORIO;1651 AV SERTORIO;PEDESTRE;EST 02 AUGUSTO SEVERO CB -PROX R AUG SEV;SER-E02CB
1071;-51.188895;-30.002126;15;;1700;8081192;;AV SERTORIO;;1700 AV SERTORIO;1700 AV SERTORIO;PEDESTRE;EST 02 AUGUSTO SEVERO BC -PROX R AUG SEV;SER-E02BC
